"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Snatch Pull (Barbell)";"4";"108.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Snatch Pull (Barbell)";"5";"108.0";"5";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Bench Press (Barbell)";"1";"50.0";"20";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Bench Press (Barbell)";"2";"50.0";"20";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Bench Press (Barbell)";"3";"50.0";"8";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Bicep Curl (Barbell)";"W";"21.0";"10";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Bicep Curl (Barbell)";"1";"31.0";"12";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Bicep Curl (Barbell)";"2";"31.0";"8";"";"";"";"";""
"13";"2024-02-04 12:01:15";"Strength 24";"5060";"Bicep Curl (Barbell)";"3";"31.0";"8";"";"";"";"";""
"14";"2024-02-04 12:41:00";"Gripper #2";"3600";"Hand Gripper";"1";"45.0";"10";"";"";"";"";""
"14";"2024-02-04 12:41:00";"Gripper #2";"3600";"Hand Gripper";"2";"45.0";"10";"";"";"";"";""
"14";"2024-02-04 12:41:00";"Gripper #2";"3600";"Hand Gripper";"3";"45.0";"10";"";"";"";"";""
"14";"2024-02-04 12:41:00";"Gripper #2";"3600";"Hand Gripper";"4";"45.0";"10";"";"";"";"";""
"14";"2024-02-04 12:41:00";"Gripper #2";"3600";"Hand Gripper";"5";"45.0";"10";"";"";"";"";""
"15";"2024-02-08 12:32:00";"Fighter Pullup Challenge #4";"3600";"Pull Up";"1";"0.0";"6";"";"";"";"";""
"15";"2024-02-08 12:32:00";"Fighter Pullup Challenge #4";"3600";"Pull Up";"2";"0.0";"6";"";"";"";"";""
"15";"2024-02-08 12:32:00";"Fighter Pullup Challenge #4";"3600";"Pull Up";"3";"0.0";"6";"";"";"";"";""
"15";"2024-02-08 12:32:00";"Fighter Pullup Challenge #4";"3600";"Pull Up";"4";"0.0";"6";"";"";"";"";""
"15";"2024-02-08 12:32:00";"Fighter Pullup Challenge #4";"3600";"Pull Up";"5";"0.0";"5";"";"";"";"";""
"16";"2024-02-10 12:33:00";"Fighter Pullup Challenge #5";"3600";"Pull Up";"1";"0.0";"6";"";"";"";"";""
"16";"2024-02-10 12:33:00";"Fighter Pullup Challenge #5";"3600";"Pull Up";"2";"0.0";"6";"";"";"";"";""
"16";"2024-02-10 12:33:00";"Fighter Pullup Challenge #5";"3600";"Pull Up";"3";"0.0";"6";"";"";"";"";""
"16";"2024-02-10 12:33:00";"Fighter Pullup Challenge #5";"3600";"Pull Up";"4";"0.0";"6";"";"";"";"";""
"16";"2024-02-10 12:33:00";"Fighter Pullup Challenge #5";"3600";"Pull Up";"5";"0.0";"6";"";"";"";"";""
"17";"2024-02-10 12:42:00";"Gripper #3";"3600";"Hand Gripper";"1";"45.0";"25";"";"";"";"";""
"17";"2024-02-10 12:42:00";"Gripper #3";"3600";"Hand Gripper";"2";"45.0";"20";"";"";"";"";""
"17";"2024-02-10 12:42:00";"Gripper #3";"3600";"Hand Gripper";"3";"45.0";"20";"";"";"";"";""
"17";"2024-02-10 12:42:00";"Gripper #3";"3600";"Hand Gripper";"4";"45.0";"20";"";"";"";"";""
"17";"2024-02-10 12:42:00";"Gripper #3";"3600";"Hand Gripper";"5";"45.0";"20";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Front Squat (Barbell)";"W";"50.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Front Squat (Barbell)";"W";"60.0";"3";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Front Squat (Barbell)";"1";"82.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Front Squat (Barbell)";"2";"82.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Front Squat (Barbell)";"3";"82.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Front Squat (Barbell)";"4";"82.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Front Squat (Barbell)";"5";"72.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Front Squat (Barbell)";"6";"82.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Overhead Press (Barbell)";"1";"56.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Overhead Press (Barbell)";"2";"56.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Overhead Press (Barbell)";"3";"56.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Overhead Press (Barbell)";"4";"56.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Overhead Press (Barbell)";"F";"56.0";"3";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Snatch Pull (Barbell)";"1";"112.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Snatch Pull (Barbell)";"2";"112.0";"5";"";"";"";"";""
"18";"2024-02-11 19:27:32";"Strength 24";"4806";"Snatch Pull (Barbell)";"3";"112.0";"5";"";"";"";"";""
