Time,Date,S,H,P,T,L,U,C,X
1509750000.0,2017/11/04,0,0,0,0,0,0,0,0
1510354800.0,2017/11/11,0,0,0,0,0,0,0,0
1510959600.0,2017/11/18,0,0,0,0,0,0,0,0
1511564400.0,2017/11/25,0,0,0,0,0,0,0,0
1512169200.0,2017/12/02,0,0,0,0,0,0,0,0
1512774000.0,2017/12/09,0,0,0,0,0,0,0,0
1513378800.0,2017/12/16,0,0,0,0,0,0,0,0
1513983600.0,2017/12/23,0,0,0,0,0,0,0,0
1514588400.0,2017/12/30,0,0,0,0,0,0,0,0
1515193200.0,2018/01/06,0,0,0,0,0,0,0,0
1515798000.0,2018/01/13,0,0,0,0,0,0,0,0
1516402800.0,2018/01/20,0,0,0,0,0,0,0,0
1517007600.0,2018/01/27,0,0,0,0,0,0,0,0
1517612400.0,2018/02/03,0,0,0,0,0,0,0,0
1518217200.0,2018/02/10,0,0,0,0,0,0,0,0
1518822000.0,2018/02/17,0,0,0,0,0,0,0,0
1519426800.0,2018/02/24,0,0,0,0,0,0,0,0
1520031600.0,2018/03/03,0,0,0,0,0,0,0,0
1520636400.0,2018/03/10,0,0,0,0,0,0,0,0
1521241200.0,2018/03/17,0,0,0,0,0,0,0,0
1521846000.0,2018/03/24,0,0,0,0,0,0,0,0
1522450800.0,2018/03/31,0,0,0,0,0,0,0,0
1523055600.0,2018/04/07,0,0,0,0,0,0,0,0
1523660400.0,2018/04/14,0,0,0,0,0,0,0,0
1524265200.0,2018/04/21,0,0,0,0,0,0,0,0
1524870000.0,2018/04/28,0,0,0,0,0,0,0,0
1525474800.0,2018/05/05,0,0,0,0,0,0,0,0
1526079600.0,2018/05/12,0,0,0,0,0,0,0,0
1526684400.0,2018/05/19,0,0,0,0,0,0,0,0
1527289200.0,2018/05/26,0,0,0,0,0,0,0,0
1527894000.0,2018/06/02,0,0,0,0,0,0,0,0
1528498800.0,2018/06/09,0,0,0,0,0,0,0,0
1529103600.0,2018/06/16,0,0,0,0,0,0,0,0
1529708400.0,2018/06/23,0,0,0,0,0,0,0,0
1530313200.0,2018/06/30,0,0,0,0,0,0,0,0
1530918000.0,2018/07/07,0,0,0,0,0,0,0,0
1531522800.0,2018/07/14,0,0,0,0,0,0,0,0
1532127600.0,2018/07/21,0,0,0,0,0,0,0,0
1532732400.0,2018/07/28,0,0,0,0,0,0,0,0
1533337200.0,2018/08/04,0,0,0,0,0,0,0,0
1533942000.0,2018/08/11,0,0,0,0,0,0,0,0
1534546800.0,2018/08/18,0,0,0,0,0,0,0,0
1535151600.0,2018/08/25,0,0,0,0,0,0,0,0
1535756400.0,2018/09/01,0,0,0,0,0,0,0,0
1536361200.0,2018/09/08,0,0,0,0,0,0,0,0
1536966000.0,2018/09/15,0,0,0,0,0,0,0,0
1537570800.0,2018/09/22,0,0,0,0,0,0,0,0
1538175600.0,2018/09/29,0,0,0,0,0,0,0,0
1538780400.0,2018/10/06,0,0,0,0,0,0,0,0
1539385200.0,2018/10/13,0,0,0,0,0,0,0,0
1539990000.0,2018/10/20,0,0,0,0,0,0,0,0
1540594800.0,2018/10/27,0,0,0,0,0,0,0,0
1541199600.0,2018/11/03,0,0,0,0,0,0,0,0
1541804400.0,2018/11/10,0,0,0,0,0,0,0,0
1542409200.0,2018/11/17,0,0,0,0,0,0,0,0
1543014000.0,2018/11/24,0,0,0,0,0,0,0,0
1543618800.0,2018/12/01,0,0,0,0,0,0,0,0
1544223600.0,2018/12/08,0,0,0,0,0,0,0,0
1544828400.0,2018/12/15,0,0,0,0,0,0,0,0
1545433200.0,2018/12/22,0,0,0,0,0,0,0,0
1546038000.0,2018/12/29,0,0,0,0,0,0,0,0
1546642800.0,2019/01/05,0,0,0,0,0,0,0,0
1547247600.0,2019/01/12,0,0,0,0,0,0,0,0
1547852400.0,2019/01/19,0,0,0,0,0,0,0,0
1548457200.0,2019/01/26,0,0,0,0,0,0,0,0
1549062000.0,2019/02/02,0,0,0,0,0,0,0,0
1549666800.0,2019/02/09,0,0,0,0,0,0,0,0
1550271600.0,2019/02/16,0,0,0,0,0,0,0,0
1550876400.0,2019/02/23,0,0,0,0,0,0,0,0
1551481200.0,2019/03/02,0,0,0,0,0,0,0,0
1552086000.0,2019/03/09,0,0,0,0,0,0,0,0
1552690800.0,2019/03/16,0,0,0,0,0,0,0,0
1553295600.0,2019/03/23,0,0,0,0,0,0,0,0
1553900400.0,2019/03/30,0,0,0,0,0,0,0,0
1554505200.0,2019/04/06,0,0,0,0,0,0,0,0
1555110000.0,2019/04/13,0,0,0,0,0,0,0,0
1555714800.0,2019/04/20,0,0,0,0,0,0,0,0
1556319600.0,2019/04/27,0,0,0,0,0,0,0,0
1556924400.0,2019/05/04,0,0,0,0,0,0,0,0
1557529200.0,2019/05/11,0,0,0,0,0,0,0,0
1558134000.0,2019/05/18,0,0,0,0,0,0,0,0
1558738800.0,2019/05/25,0,0,0,0,0,0,0,0
1559343600.0,2019/06/01,0,0,0,0,0,0,0,0
1559948400.0,2019/06/08,0,0,0,0,0,0,0,0
1560553200.0,2019/06/15,0,0,0,0,0,0,0,0
1561158000.0,2019/06/22,0,0,0,0,0,0,0,0
